Category,No. of reviews,Rating,Time elapsed after the last update,Size,"No. of Installations
(in '00000s)",Required Android Version,content_rating,Success
GAME_RACING,26994,4,6 months,between 40-50,100,above 4,Everyone,Not Successful
GAME_STRATEGY,97301,4.3,3 months,between 30-40,100,above 4,Everyone,successful
GAME_STRATEGY,160362,4.5,3 months,above 50,50,above 4,Everyone,successful
GAME_ACTION,24315454,4.4,3 months,between 40-50,1000,above 4,Teen,successful
GAME_RACING,186411,4.3,3 months,above 50,100,above 4,Everyone,successful
GAME_STRATEGY,69661,4.4,1 month,between 40-50,50,above 4,Everyone,successful
GAME_ACTION,633267,4.1,3 months,above 50,500,above 4,Mature ,Not Successful
GAME_RACING,9110,4.1,3 months,above 50,10,above 4,Everyone ,Not Successful
GAME_RACING,6278756,4.5,1 month,between 30-40,1000,above 4,Everyone,successful
GAME_WORD,485,3.6,6 months,between 40-50,1,above 4,Everyone,Not Successful
GAME_SPORTS,6180612,4.3,3 months,above 50,1000,above 4,Everyone,successful
GAME_SPORTS,1052573,4.4,1 month,above 50,500,above 4,Everyone,successful
GAME_SPORTS,36682,4.4,3 months,between 40-50,10,above 4,Everyone,successful
GAME_SPORTS,12374,4.1,1 month,between 30-40,10,above 4,Everyone,Not Successful
GAME_ACTION,105161,4.2,more than 6 months,between 20-30,100,above 4,Teen,Not Successful
GAME_SPORTS,1429619,4.2,more than 6 months,between 40-50,1000,above 4,Everyone ,Not Successful
